category_code,funding_required,founded_year,success_ratio,problem_importance,solution_uniqueness,usp_strength,business_model_clarity,target_market_size,team_experience_years,equity_offered
web,4700000,2005,0,8,7,6,10,51,8,23.57
public_relations,120000,2008,0,8,10,7,4,53,10,24.93
advertising,10000000,2002,1,10,10,7,5,78,3,20.92
semiconductor,39000000,2000,0,6,7,6,10,91,10,20.07
software,16100000,2003,1,7,7,10,7,82,11,9.31
advertising,3300000,2006,1,5,6,9,4,92,1,11.72
analytics,750000,2009,1,9,8,8,6,51,12,14.31
software,1000000,2006,0,5,9,7,7,47,3,20.47
biotech,7410000,1996,0,5,5,9,6,4,0,23.3
semiconductor,52800000,2000,1,7,8,6,10,7,2,8.78
software,37000000,2001,0,5,10,9,6,35,9,23.45
web,14229998,2007,1,6,7,5,4,48,8,18.91
messaging,3000000,2009,1,6,8,7,7,73,9,17.22
advertising,20000000,2005,1,8,9,6,9,72,4,9.0
advertising,2000000,2008,1,10,10,8,8,45,14,6.11
software,19900000,2003,1,9,5,10,4,81,10,16.37
ecommerce,1500000,2006,0,5,5,6,4,81,5,18.03
cleantech,325000,2009,0,5,9,8,9,97,2,9.22
enterprise,3500000,2010,0,7,9,10,7,96,4,16.13
network_hosting,30000000,2004,0,10,7,10,7,72,10,22.13
biotech,50000000,2003,1,6,5,6,10,19,7,21.7
ecommerce,2000000,2008,1,9,10,9,6,63,5,23.55
advertising,72000000,2005,1,8,8,9,10,38,3,12.32
cleantech,27690547,2004,1,6,10,10,9,67,1,11.36
semiconductor,9000000,2004,0,10,6,9,10,59,13,19.99
enterprise,7500000,2008,1,8,6,5,9,69,8,13.62
software,10000000,2007,1,7,9,10,7,13,12,6.75
software,5965000,2006,1,7,7,10,6,47,11,10.66
mobile,4000000,2006,1,5,6,8,10,61,0,13.37
advertising,5000000,2003,0,10,5,9,4,31,0,10.85
advertising,11500000,2004,1,9,10,10,5,80,12,11.64
web,1050000,2009,0,8,10,5,8,96,3,10.88
web,5500000,2007,1,6,9,8,4,22,6,5.83
advertising,5000000,2007,1,10,8,6,7,93,0,17.74
enterprise,3700000,2011,0,10,9,10,8,86,8,16.95
software,7000000,2006,0,7,8,5,5,43,3,18.07
network_hosting,32000000,2005,0,5,9,7,5,67,2,8.85
advertising,7900000,2007,1,5,9,5,6,54,0,10.91
network_hosting,80000000,2006,1,8,9,5,8,10,9,17.39
mobile,5000000,2005,0,7,8,8,6,42,3,16.99
security,2100000,2006,1,10,8,6,4,64,8,15.13
enterprise,22250000,2004,1,9,9,7,9,21,12,12.01
enterprise,1975000,2011,1,7,6,9,9,80,13,23.26
web,1000000,2008,1,8,7,9,9,76,9,11.8
cleantech,35000000,2008,0,8,7,5,8,66,5,14.11
mobile,88651133,2005,1,7,7,8,9,41,5,18.56
semiconductor,26000000,2000,1,8,8,8,4,24,0,15.86
games_video,100000,2010,0,7,8,9,6,35,9,11.94
mobile,5000000,2005,1,6,6,7,8,56,1,13.71
biotech,7300000,2000,0,7,7,6,6,30,10,20.89
biotech,64080000,2003,1,7,7,7,8,57,5,10.56
enterprise,5800000,2010,1,8,9,10,6,94,1,7.85
finance,89500000,2004,0,8,8,10,5,47,2,11.26
games_video,23350000,2006,1,5,7,6,6,35,3,21.99
software,13500000,2002,1,5,10,9,9,19,10,6.78
security,24500000,2000,1,6,6,6,5,8,4,24.83
public_relations,10000000,2002,0,5,10,8,6,26,14,15.82
other,8500000,2007,0,7,10,10,8,71,8,24.7
cleantech,6000000,1992,0,8,6,5,8,30,11,23.78
software,2000000,2008,1,5,10,5,8,7,14,14.06
enterprise,4100000,2010,1,5,7,9,7,67,14,8.97
search,6200000,2004,1,6,8,8,4,65,3,8.3
advertising,12250000,2003,1,10,6,7,8,36,12,9.8
mobile,11725600,2003,1,6,9,8,5,25,10,19.2
software,16000000,2001,0,7,10,5,8,37,8,10.46
mobile,5056559,2006,1,8,6,5,7,1,10,11.83
web,100000,2005,1,6,5,10,9,15,9,13.98
hardware,68200000,2001,1,5,5,8,5,37,2,23.26
enterprise,33000000,2001,1,8,8,8,7,13,7,8.79
analytics,3352194,2009,0,8,7,5,9,8,11,5.1
analytics,2212000,2010,1,5,8,7,10,5,0,6.2
biotech,19800000,2004,1,6,8,9,10,60,10,23.1
web,4500000,2010,0,5,8,9,5,73,8,17.95
software,14000000,2004,1,10,8,8,6,1,8,10.46
social,100000,2011,0,8,9,9,4,36,9,8.54
software,9900000,2004,1,9,9,5,4,35,1,10.89
advertising,7600000,2008,1,9,6,5,7,66,3,7.3
games_video,50000,2008,0,7,5,8,9,63,12,23.83
public_relations,650000,2007,0,5,8,8,4,23,7,20.68
mobile,10500000,2008,0,5,6,10,9,9,6,14.25
web,500000,2012,1,7,5,8,9,34,0,22.3
web,24300000,2003,1,7,10,7,7,46,4,9.99
hardware,18000000,1999,0,7,7,9,7,78,6,19.34
messaging,26000000,2007,1,8,9,8,7,4,14,22.12
hardware,9500000,2005,0,10,10,6,4,30,3,12.14
biotech,16980999,2000,1,5,5,10,10,95,14,20.15
games_video,5000000,2004,0,8,10,6,7,75,14,10.9
hardware,350000,2007,0,7,7,5,4,99,0,10.98
web,13130000,2006,0,5,5,9,7,72,8,7.14
software,20000000,2008,0,8,10,8,8,3,13,13.8
mobile,26500000,2006,1,10,9,6,9,14,4,19.59
enterprise,15000000,2002,1,8,9,9,7,60,10,23.8
public_relations,2600000,2002,0,10,6,5,5,77,1,17.08
cleantech,21470000,2004,0,7,10,7,9,45,7,22.26
mobile,20000,2010,0,10,8,10,9,96,10,21.45
web,3600000,2005,0,5,10,9,7,34,12,8.47
games_video,27300000,2005,1,7,5,9,10,45,1,14.72
ecommerce,2600000,2012,1,5,5,7,6,61,2,7.34
web,5000000,2010,0,9,10,9,10,83,13,18.64
mobile,17000000,2004,1,6,7,5,7,16,9,24.0
manufacturing,662000,2008,0,10,9,5,9,66,0,7.74
hospitality,3750000,2010,1,6,5,7,5,40,10,19.68
news,45000000,2004,1,6,9,10,9,17,1,17.64
music,6700000,2007,1,10,5,8,10,34,13,16.67
hardware,20750000,2006,1,7,6,6,5,16,6,12.8
games_video,19000000,2006,1,9,8,8,4,60,9,12.1
search,22500000,2006,1,5,5,9,8,66,1,5.9
advertising,7300000,2005,1,8,9,6,9,66,5,9.36
web,26390819,2005,0,5,6,7,7,90,14,5.3
software,10000000,2004,1,8,5,7,4,13,2,16.63
web,31000,2010,0,5,7,10,8,56,3,7.12
mobile,21500000,2005,1,10,8,6,7,31,10,22.46
security,4000000,2002,1,9,5,5,6,34,14,15.46
games_video,9400000,2006,1,8,6,6,7,39,12,18.99
web,5600000,2007,1,7,7,9,5,67,7,13.22
finance,6000000,2006,1,5,10,5,5,8,13,16.21
transportation,60704370,2000,1,5,6,7,6,87,2,23.85
sports,2000000,2009,1,8,6,6,4,78,9,6.65
finance,1000000,2008,1,7,7,8,8,55,5,10.08
games_video,200000,2007,0,7,6,10,7,27,0,20.6
cleantech,2300000,2007,0,10,7,8,5,93,6,6.97
mobile,1000000,2006,0,10,5,10,4,53,7,6.51
music,24750000,2003,1,10,7,9,6,39,10,12.23
software,12800000,2005,0,10,7,8,10,65,13,6.84
enterprise,30500000,2001,1,10,8,6,9,17,7,16.7
automotive,36300000,2003,0,10,7,6,10,30,2,9.53
real_estate,6693782,2008,1,9,7,8,10,53,13,22.91
hardware,20000000,1996,0,7,10,6,5,13,9,20.67
network_hosting,11370000,2005,1,10,5,9,6,21,0,18.99
web,16500000,2006,1,7,8,5,7,19,8,17.34
network_hosting,250000,2008,0,7,10,9,10,53,12,22.27
web,14400000,2006,1,6,9,10,10,19,5,9.46
enterprise,90000000,2007,1,9,5,9,8,57,10,22.46
advertising,13075000,2005,1,10,5,10,5,25,8,20.79
games_video,26000000,2007,1,5,9,6,5,86,6,19.96
enterprise,16300000,2008,1,8,7,5,7,31,0,16.23
enterprise,5992316,2003,1,5,10,6,9,81,11,9.92
biotech,89400001,2007,1,9,6,7,4,55,11,13.47
software,1200000,2005,0,8,8,6,8,23,0,20.87
web,1900000,2009,0,9,6,10,5,32,5,5.64
games_video,30300000,1999,0,7,9,6,8,62,4,20.64
web,500000,2006,0,8,5,6,5,74,8,9.8
network_hosting,74000000,2006,1,7,5,5,8,10,1,7.89
semiconductor,18800000,2000,1,5,8,6,6,72,7,7.31
web,20000,2009,0,5,5,5,10,54,10,5.55
mobile,3350000,2009,1,8,5,8,5,52,4,15.47
biotech,26100000,2005,1,8,8,7,8,20,1,9.37
enterprise,1213066,2009,0,10,10,5,4,32,12,24.79
advertising,24030000,2008,1,9,10,10,6,14,9,16.49
travel,13100000,2006,1,10,8,8,6,50,10,7.76
software,560001,2008,1,9,9,5,4,28,10,18.78
enterprise,3500000,2009,1,10,5,5,8,53,11,22.95
mobile,121500000,2005,1,7,5,7,7,24,5,19.9
mobile,42500000,2005,1,8,9,10,4,79,9,6.53
software,36000000,2000,1,5,10,9,8,22,7,22.92
enterprise,12170000,2005,0,9,7,9,4,30,3,20.88
software,1000000,2002,1,9,7,5,4,63,1,8.17
mobile,1820000,2008,1,5,7,6,5,4,11,6.04
mobile,5700000000,2003,1,10,10,10,8,77,10,16.15
security,5000000,2001,1,9,10,8,7,59,4,8.12
fashion,18800000,2010,1,7,9,6,10,87,14,21.69
advertising,72300000,2003,1,8,5,6,5,8,11,12.17
social,1310000,2009,1,5,9,10,4,82,1,23.26
software,15000000,2003,0,8,9,5,10,12,1,16.31
enterprise,39007789,2004,1,9,10,5,9,31,14,8.65
software,25000000,2004,1,9,7,5,10,78,5,7.79
web,172500,2009,1,5,6,5,4,34,10,16.53
social,6100000,2009,1,7,5,9,4,82,9,20.24
mobile,40300000,2004,1,6,10,5,8,98,8,20.63
ecommerce,100000,2011,0,5,7,9,8,75,12,10.52
education,19389998,2007,1,6,6,9,5,76,3,9.08
hardware,61500000,2000,1,10,6,5,7,49,5,5.34
software,6000000,2007,1,6,10,7,5,79,6,18.58
mobile,19100000,2004,1,7,8,8,6,57,12,6.53
advertising,3499997,2008,1,10,5,6,4,95,10,13.42
network_hosting,2600000,2006,1,6,6,9,10,93,5,17.03
web,2023000,2009,1,10,10,10,9,26,7,23.74
semiconductor,25000000,2002,1,6,10,10,4,18,3,11.24
fashion,66000000,2009,1,7,7,8,4,96,11,10.0
advertising,1000000,2009,1,6,8,10,5,86,14,18.08
mobile,13000000,2010,1,6,5,7,9,38,0,17.38
software,24150000,1998,0,6,9,10,9,81,6,11.64
semiconductor,47218498,2004,0,5,7,6,9,87,2,23.56
search,11800000,2002,1,5,6,6,5,88,13,21.9
analytics,2387481,2008,0,5,6,9,4,50,5,9.48
consulting,33000000,2000,1,7,7,5,5,8,1,9.78
software,7500000,2005,1,10,10,7,8,41,8,15.25
biotech,25000000,2000,1,9,6,9,8,6,0,20.47
software,25305000,2002,1,6,8,7,5,69,5,5.88
web,4950000,2008,1,6,5,5,9,44,5,18.87
software,53816776,2003,1,7,8,10,4,64,4,17.96
web,3500000,2005,1,6,6,10,5,29,12,9.63
enterprise,5000000,2007,1,5,9,5,5,28,4,18.63
network_hosting,2515000,2007,1,9,5,9,5,11,0,23.8
web,8400000,2006,1,8,5,5,6,65,9,5.94
mobile,4900000,2004,0,6,7,8,8,19,11,11.39
software,5000000,2001,0,5,7,6,10,9,4,13.76
public_relations,11000000,2001,1,8,9,9,9,27,1,22.99
mobile,68400000,2000,1,9,10,7,7,34,6,24.25
software,2000000,2007,1,8,5,8,10,44,2,13.88
enterprise,10800000,2006,0,5,9,9,9,68,12,20.0
news,37000000,2005,1,10,7,5,7,82,14,15.63
security,7660000,2004,1,10,7,5,6,15,3,15.76
software,48730000,2005,1,8,5,5,5,51,2,10.56
messaging,3350000,2009,0,7,8,5,6,13,2,9.34
ecommerce,28000000,2003,0,8,6,7,6,83,3,10.76
analytics,2500000,2010,1,6,7,8,10,49,4,16.13
web,8000000,2004,1,6,10,10,4,70,0,5.58
web,540000,2007,1,10,10,6,10,56,3,23.14
games_video,3100000,2006,1,7,7,7,8,76,11,8.13
mobile,1200000,2009,1,5,8,7,7,51,11,9.4
games_video,5000000,2007,0,6,8,10,5,37,10,15.37
security,37079000,2004,1,10,9,10,10,17,7,19.2
other,135826373,2002,1,9,10,6,7,58,9,6.91
mobile,5000000,2008,0,10,9,6,9,87,6,11.35
software,4200000,2011,1,6,10,10,7,90,8,24.37
web,4100000,2005,0,6,6,5,9,29,4,10.25
web,2000000,2011,0,10,6,7,10,33,12,11.26
software,6500000,2001,1,5,5,9,8,60,14,21.73
web,4000000,2005,0,8,9,6,10,91,9,6.0
mobile,185000,2010,0,6,7,6,9,89,3,14.29
mobile,1300000,2009,1,10,9,10,7,55,7,12.59
advertising,45000000,2003,1,10,7,8,7,10,8,11.33
search,2500000,2008,1,7,8,9,9,47,12,10.71
web,9200000,2005,1,8,9,9,6,23,6,6.83
web,435953,2010,0,9,8,6,8,85,13,11.3
network_hosting,55600000,2008,0,5,6,5,4,21,6,5.86
software,10000000,2001,1,9,6,8,5,13,4,20.62
games_video,12000,2010,0,8,5,9,7,33,3,12.96
biotech,2257464,2006,0,8,9,6,5,24,13,13.88
messaging,983000,2011,1,8,8,9,4,11,9,22.87
fashion,41000000,2007,1,9,7,8,10,17,0,18.16
software,9100000,2003,0,8,6,8,5,68,9,5.16
software,25500100,2004,0,10,6,7,4,47,9,23.86
web,400000,2010,1,9,7,10,9,25,6,9.74
network_hosting,22165091,2002,1,8,8,10,6,94,0,7.15
network_hosting,500000,2007,1,10,8,6,7,73,0,20.36
web,70000000,2005,1,7,9,8,4,21,4,15.01
security,4700000,2007,1,8,9,7,5,84,12,13.68
ecommerce,30000000,2006,1,9,10,7,7,83,8,9.99
software,39000000,2003,1,6,10,9,6,83,5,15.95
semiconductor,32000000,2000,1,8,5,9,9,12,2,10.49
advertising,42000000,2000,1,6,6,7,10,37,12,23.03
enterprise,24510540,2001,1,10,9,9,7,42,2,9.3
software,2500000,2000,0,7,8,8,10,17,6,22.69
software,21460663,2002,1,5,7,5,4,48,5,16.19
games_video,15000000,2001,1,7,8,8,6,28,8,21.57
mobile,889999,2006,0,8,6,7,5,41,5,19.26
software,16000000,2001,1,6,10,7,6,99,4,18.93
web,7000000,2005,1,6,8,8,6,47,9,11.49
advertising,100000,2010,0,9,5,9,8,18,6,9.68
music,1500000,2007,1,6,6,9,6,78,0,9.22
web,8000000,2000,1,9,10,10,6,99,11,22.14
web,4000000,2007,1,10,7,7,7,71,6,21.41
web,25000,2009,0,5,10,6,5,13,2,13.81
mobile,64630000,2003,1,8,5,10,7,82,13,7.65
web,12100000,2005,0,9,6,9,7,13,8,12.65
software,20000000,2001,1,5,7,8,4,31,14,17.39
hardware,49600000,2003,0,6,5,9,7,2,5,14.09
games_video,51450000,2000,1,6,10,8,8,16,8,20.6
messaging,6300000,2008,1,5,5,10,8,9,12,24.95
mobile,200000,2010,0,6,6,7,10,73,14,8.82
fashion,20000,2011,0,10,9,9,4,38,4,14.19
hardware,11600000,2003,1,10,5,8,10,75,6,13.62
web,9150000,2006,1,5,5,7,10,54,12,11.09
advertising,1200000,2009,0,9,10,6,9,56,13,8.96
social,1700000,2010,0,9,10,8,5,86,3,6.31
social,1415000,2007,1,5,7,10,5,97,14,22.74
enterprise,4200000,2005,1,9,10,6,7,87,6,13.4
web,500000,2007,1,9,8,6,7,45,12,14.94
public_relations,21500000,2002,1,10,6,5,9,34,0,23.34
web,10000000,2006,1,9,6,9,7,9,6,20.53
software,9500000,2004,0,7,9,8,5,88,7,7.61
cleantech,13875001,2007,0,8,9,6,10,8,4,16.31
software,275000,2000,0,6,6,5,6,7,1,13.85
software,19743770,2005,1,7,9,10,8,36,4,20.94
software,1178000,2008,1,9,7,7,6,18,5,19.48
security,25000000,2005,1,10,10,8,6,3,11,18.81
semiconductor,24150000,2004,1,5,6,6,5,28,1,11.81
mobile,80000000,2005,0,9,9,9,6,70,13,21.1
hardware,36000000,2004,1,10,6,5,9,44,5,6.05
network_hosting,205000,2006,0,8,8,6,4,21,5,8.19
web,28300000,2002,1,9,5,9,7,28,0,11.71
